SampleID,Customer Name,Attention,Address 1,Address 2,Address 3,Post Code,Telephone,Fax Number,Unique Code,Customer Reference,Second Customer Reference,Serial Number,General Description,System Description,Manufacturer,Model,Oil/Fluid Long Name,Oil/Fluid Short Name,Unit Type,Test Suite,Laboratory Ref,Unit Hours,Oil/Fluid Hours,Oil/Fluid Added,Completed Date,Date Taken,Alert Level,Ticket Number,Analyst,Aircraft Registration,Receipt Date,Booked In date,Site,Fuel Type,Prepaid,Sample Reason,Oil Changed,Lab Memo,Billing Date,Due Date,Delivery Reference,Oil/Fluid ID,Billing Completed,Viscosity at 40°C (cSt),Viscosity at 100°C (cSt),Water (% wt),Soot by FTIR (% wt),TAN (mgKOH/g),TBN (mgKOH/g),Phosphorus (% wt),Zinc (% wt),Calcium (% wt),Barium (% wt),Magnesium (% wt),Aluminium (ppm),Iron (ppm),Chromium (ppm),Copper (ppm),Lead (ppm),Tin (ppm),Silicon (ppm),Sodium (ppm),Boron (ppm),Vanadium (ppm),Molybdenum (ppm),Nickel (ppm),Silver (ppm),Titanium (ppm),Manganese (ppm),Cadmium (ppm),Antimony (ppm),Lithium (ppm),Sulphur (ICP) (ppm),Chlorine (ICP) (ppm),PS 4 - 6 µm (per 100ml),PS 6 - 14 µm (per 100ml),PS 14 - 21 µm (per 100ml),PS 21 - 38 µm (per 100ml),PS > 38 µm (per 100ml),ISO 4406 1999 (4>6>14µm),Oxidation (Abs/cm),Nitration (Abs/cm),Glycol (POS/NEG),IpH (pH Units),TGA (NA) (% wt),Volume/ Capacity,Component Serial Number,Cobalt (ppm),Potassium (ppm),Sulphur (Multiple),Chlorine (Multiple)
163948,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0069,P03-412,-,-,Test Bench P03,-,Jenbacher,J412,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45798,20246,1039,-,21/01/2022 07:22 21/01,10/01/2022 00:00 10/01,Normal (Green),1016801,Neil,-,18/01/2022 10:30 18/01,18/01/2022 11:05:42,Test Bench P03,-,True,Routine,-,-,21/01/2022 07:21:10,20/01/2022 10:30:00,-,244,N,130,14.4,<0.05,<0.01,2.43,4.1,0.0298,0.0352,0.1931,<0.0001,0.0009,<1,7,<1,8,<1,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1842,<15,-,-,-,-,-,-,6,2,NEG,5.71,-,270,-,-,<1,1842,<15,
163946,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0070,P04-312,-,-,Test Bench P04,Engine,Jenbacher,J312 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45796,18566,1350,-,24/01/2022 07:13 24/01,27/12/2021 00:00 27/12,Normal (Green),1027588,Neil,-,18/01/2022 10:30 18/01,18/01/2022 11:02:19,Test Bench P04,-,True,Routine,-,-,24/01/2022 07:12:03,20/01/2022 10:30:00,-,244,N,128,14.2,<0.05,<0.01,2.34,4.9,0.0326,0.0366,0.2020,<0.0001,0.0008,2,9,2,11,<1,<1,3,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1987,<15,-,-,-,-,-,-,8,1,NEG,5.90,-,-,-,-,<1,1987,<15,
163947,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0070,P04-312,-,-,Test Bench P04,Engine,Jenbacher,J312 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45797,18795,1570,-,24/01/2022 07:14 24/01,09/01/2022 00:00 09/01,Normal (Green),1027587,Neil,-,18/01/2022 10:30 18/01,18/01/2022 11:04:33,Test Bench P04,-,True,Routine,-,-,24/01/2022 07:13:07,20/01/2022 10:30:00,-,244,N,129,14.2,<0.05,<0.01,2.52,4.7,0.0329,0.0368,0.2056,<0.0001,0.0009,2,9,2,10,<1,<1,3,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1967,<15,-,-,-,-,-,-,9,1,NEG,5.83,-,-,-,-,<1,1967,<15,
153453,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0278,J B724,-,4120341,Oranjegoed 2,Engine,Jenbacher,620,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73620,26097,2673,-,11/01/2022 20:19 11/01,04/01/2022 00:00 04/01,Normal (Green),1038921,andy,-,07/01/2022 15:25 07/01,07/01/2022 15:27:27,Oranjegoed 2,-,True,Routine,-,-,11/01/2022 20:19:24,11/01/2022 15:25:00,-,244,Y,138,15.2,<0.05,0.06,3.65,3.9,0.0313,0.0407,0.2194,<0.0001,0.0009,3,10,<1,6,<1,<1,3,6,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2488,<15,-,-,-,-,-,-,16,6,NEG,5.58,-,-,-,<1,<1,2488,<15,
163770,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0337,J I448,-,1243360,BMW Regensburg M3,Gas Engine,Jenbacher,J616 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73952,72123,2000,-,18/01/2022 21:21 18/01,10/01/2022 00:00 10/01,Early (Yellow),1028035,ElizabethF,-,14/01/2022 14:00 14/01,15/01/2022 16:19:42,BMW Regensburg M3,NG,True,Routine,-,-,18/01/2022 15:21:49,18/01/2022 14:00:00,-,244,Y,135,14.9,<0.05,0.07,3.75,3.2,0.0299,0.0379,0.1932,<0.0001,0.0012,3,9,<1,<1,2,<1,3,4,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2519,<15,-,-,-,-,-,-,11,4,NEG,5.46,-,648,-,-,<1,2519,<15,
153002,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0338,JI 448,-,1243364,BMW Regensburg-M4,-,Jenbacher,J616 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73265,72943,1512,-,03/01/2022 16:35 03/01,20/12/2021 00:00 20/12,Normal (Green),1028031,nilay,-,29/12/2021 13:00 29/12,29/12/2021 23:06:42,-,0,True,Routine,Y,-,03/01/2022 10:35:33,31/12/2021 13:00:00,-,244,Y,135,15.0,<0.05,0.05,3.06,3.7,0.0306,0.0376,0.2059,<0.0001,0.0012,3,4,<1,<1,<1,<1,3,4,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2369,<15,-,-,-,-,-,-,10,4,NEG,5.88,-,648,-,<1,<1,2369,<15,
163997,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0399,J P851,-,1077728,Sihl GmbH,-,Jenbacher,JMS 612 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74165,53719,1405,300,23/01/2022 14:01 23/01,17/01/2022 00:00 17/01,Normal (Green),1040923,andy,-,19/01/2022 12:00 19/01,19/01/2022 16:56:27,-,-,True,Routine,-,please results to>please look at photo,23/01/2022 14:00:57,21/01/2022 12:00:00,-,244,N,133,14.7,<0.05,0.10,3.62,4.0,0.0345,0.0415,0.2222,<0.0001,0.0013,3,12,1,<1,1,<1,2,1,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,2717,<15,-,-,-,-,-,-,13,4,NEG,5.97,-,-,-,-,<1,2717,<15,
153294,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0399,J P851,-,1077728,Sihl GmbH,-,Jenbacher,JMS 612 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73466,53419,1106,220,07/01/2022 17:30 07/01,03/01/2022 00:00 03/01,Normal (Green),1040922,ling,-,05/01/2022 12:00 05/01,05/01/2022 14:17:24,-,-,True,Routine,-,-,07/01/2022 17:29:53,07/01/2022 12:00:00,-,244,Y,131,14.6,<0.05,0.09,3.00,4.3,0.0342,0.0399,0.2183,<0.0001,0.0011,3,9,1,<1,<1,<1,4,2,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,2482,<15,-,-,-,-,-,-,11,4,NEG,6.24,-,-,-,<1,<1,2482,<15,
163793,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0525,J M163,-,1221743,BHKW Stapelfeld,Engine,Jenbacher,JMS 920 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-PC+TGA,GEUK45792,15418,533,-,21/01/2022 07:09 21/01,10/01/2022 00:00 10/01,Normal (Green),1000574,Neil,-,15/01/2022 08:15 15/01,15/01/2022 09:27:47,BHKW Stapelfeld,NG1,True,Routine,-,N OIL 40 ON LABEL,21/01/2022 07:08:06,19/01/2022 07:00:00,-,244,N,129,14.3,<0.05,<0.01,2.06,5.6,0.0318,0.0361,0.1952,<0.0001,0.0009,2,6,<1,1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2121,<15,39286890,4862890,15050,1970,0,26/23/15,6,2,NEG,7.24,0.348,-,-,-,<1,2121,<15,
153460,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0609,J S564,-,1113035,München Westendstr.,-,Jenbacher,J 416 GS-B09,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73627,22931,-,-,11/01/2022 20:37 11/01,05/01/2022 00:00 05/01,Normal (Green),1000729,andy,-,07/01/2022 15:25 07/01,07/01/2022 15:27:46,-,-,True,Routine,-,-,11/01/2022 20:36:52,11/01/2022 15:25:00,-,244,Y,126,14.3,<0.05,0.03,2.41,4.4,0.0302,0.0370,0.1921,<0.0001,0.0008,3,11,<1,1,<1,1,3,11,6,<1,<1,<1,<1,<1,<1,<1,<1,<1,2276,<15,-,-,-,-,-,-,4,3,NEG,6.42,-,-,-,<1,2,2276,<15,
